timestamp,total_resources,used_resources,utilization,waiting_jobs,job_id,requested_resources,requested_time
0.0,9,5,0.5555555555555556,0,w0!job0,5,2564
100.0,9,5,0.5555555555555556,1,w0!job1,6,3232
200.0,9,5,0.5555555555555556,2,w0!job2,5,2507
300.0,9,6,0.6666666666666666,2,w0!job3,1,3525
329.00005,9,7,0.7777777777777778,1,w0!job0,5,2564
400.0,9,7,0.7777777777777778,2,w0!job4,3,3316
500.0,9,7,0.7777777777777778,3,w0!job5,6,1591
600.0,9,7,0.7777777777777778,4,w0!job6,3,1176
700.0,9,7,0.7777777777777778,5,w0!job7,5,2465
800.0,9,7,0.7777777777777778,6,w0!job8,6,849
900.0,9,8,0.8888888888888888,6,w0!job9,1,3571
2976.0,9,7,0.7777777777777778,6,w0!job9,1,3571
2991.0001,9,9,1.0,4,w0!job1,6,3232
3825.0,9,8,0.8888888888888888,4,w0!job3,1,3525
4144.00015,9,6,0.6666666666666666,3,w0!job2,5,2507
5247.0001,9,9,1.0,2,w0!job4,3,3316
5320.0002,9,6,0.6666666666666666,2,w0!job6,3,1176
6838.0001,9,5,0.5555555555555556,1,w0!job5,6,1591
9303.0001,9,6,0.6666666666666666,0,w0!job7,5,2465
10152.0001,9,0,0.0,0,w0!job8,6,849
